month,neighbourhood,price_mean
2018-08,El Putget i Farró,72.04761904761905
2018-08,El Raval,73.42243262927894
2018-08,Glòries - El Parc,63.84587813620072
2018-08,Gràcia,112.5
2018-08,Guinardó,60.49444444444445
2018-08,Horta,37.294117647058826
2018-08,Horta-Guinardó,118.9
2018-08,L'Antiga Esquerra de l'Eixample,95.52450980392157
2018-08,La Barceloneta,72.56980056980056
2018-08,La Font d'en Fargues,111.73333333333333
2018-08,La Guineueta - Canyelles,57.43478260869565
2018-08,La Maternitat i Sant Ramon,116.40277777777777
2018-08,La Nova Esquerra de l'Eixample,82.70040080160321
2018-08,La Prosperitat,32.23809523809524
2018-08,La Sagrada Família,93.77576335877863
2018-08,La Sagrera,48.22666666666667
2018-08,La Salut,62.141666666666666
2018-08,La Teixonera,41.5625
2018-08,La Trinitat Vella,35.888888888888886
2018-08,La Vall d'Hebron,36.61538461538461
2018-08,La Verneda i La Pau,35.184615384615384
2018-08,La Vila Olímpica,175.6242774566474
2018-08,Les Corts,85.96153846153847
2018-08,Les Tres Torres,114.85185185185185
2018-08,Montbau,32.6875
2018-08,Navas,43.34444444444444
2018-08,Nou Barris,32.111111111111114
2018-08,Pedralbes,92.44
2018-08,Porta,39.97435897435897
2018-08,Provençals del Poblenou,69.47107438016529
2018-08,Sant Andreu,41.5
2018-08,Sant Andreu de Palomar,93.63636363636364
2018-08,Sant Antoni,85.7612293144208
2018-08,Sant Genís dels Agudells,44.095238095238095
2018-08,Sant Gervasi - Galvany,111.10561056105611
2018-08,Sant Gervasi - la Bonanova,76.52941176470588
2018-08,Sant Martí,81.16666666666667
2018-08,Sant Martí de Provençals,46.204819277108435
2018-08,Sant Pere/Santa Caterina,72.45344129554655
2018-08,Sants-Montjuïc,78.79640718562874
2018-08,Sarrià,103.44642857142857
2018-08,Sarrià-Sant Gervasi,148.33333333333334
2018-08,Torre Baró,37.625
2018-08,Trinitat Nova,36.2
2018-08,Turó de la Peira - Can Peguera,37.15384615384615
2018-08,Vallcarca i els Penitents,69.85365853658537
2018-08,Verdum - Los Roquetes,34.733333333333334
2018-08,Vila de Gràcia,91.63152804642166
2018-08,Vilapicina i la Torre Llobeta,36.58490566037736
2018-08,el Fort Pienc,88.82149712092131
2018-09,Baró de Viver,25.0
2018-09,Camp d'en Grassot i Gràcia Nova,106.3667711598746
2018-09,Can Baro,52.59183673469388
2018-09,Carmel,111.43
2018-09,Ciutat Vella,115.72727272727273
2018-09,Diagonal Mar - La Mar Bella,247.4611111111111
2018-09,Dreta de l'Eixample,172.13730853391684
2018-09,Eixample,77.2
2018-09,El Baix Guinardó,63.77777777777778
2018-09,El Besòs i el Maresme,55.767932489451475
2018-09,El Bon Pastor,26.90909090909091
2018-09,El Born,74.99392712550608
2018-09,El Camp de l'Arpa del Clot,65.69180327868852
2018-09,El Clot,55.01960784313726
2018-09,El Coll,51.270833333333336
2018-09,El Congrés i els Indians,81.78571428571429
2018-09,El Gòtic,76.13368055555556
2018-09,El Poble-sec,89.74358974358974
2018-09,El Poblenou,98.92887931034483
2018-09,El Putget i Farró,102.22564102564102
2018-09,El Raval,73.9771265189421
2018-09,Glòries - El Parc,66.46332046332046
2018-09,Gràcia,113.33333333333333
2018-09,Guinardó,67.58823529411765
2018-09,Horta,37.78378378378378
2018-09,Horta-Guinardó,139.375
